1.00000 -0.0185733
0.98339 -0.0123733
0.96457 -0.0074
0.94365 -0.00456
0.92072 -0.00364
0.89589 -0.00481333
0.86929 -0.00848
0.84103 -0.0149333
0.81126 -0.0242133
0.78011 -0.0361733
0.74774 -0.05076
0.71431 -0.0677733
0.67996 -0.0866667
0.64487 -0.106667
0.60921 -0.12696
0.57314 -0.146787
0.53685 -0.165547
0.50049 -0.182733
0.46426 -0.197973
0.42831 -0.21088
0.39283 -0.22104
0.35799 -0.228453
0.32394 -0.233173
0.29086 -0.23524
0.25891 -0.234707
0.22823 -0.231667
0.19897 -0.226267
0.17128 -0.218693
0.14528 -0.209107
0.12111 -0.197573
0.09887 -0.18428
0.07868 -0.169267
0.06063 -0.152533
0.04481 -0.134187
0.03126 -0.114493
0.02014 -0.0934133
0.01141 -0.0710667
0.00515 -0.04832
0.00138 -0.0194533
0.00012 0.00816
0.00138 0.0234
0.00515 0.0552
0.01141 0.0793333
0.02014 0.10288
0.03126 0.1254
0.04481 0.14668
0.06063 0.16632
0.07868 0.184053
0.09887 0.19976
0.12111 0.21328
0.14528 0.224587
0.17128 0.233493
0.19897 0.23992
0.22823 0.24388
0.25891 0.24552
0.29086 0.244933
0.32394 0.24228
0.35799 0.237667
0.39283 0.231293
0.42831 0.22332
0.46426 0.213973
0.50049 0.203493
0.53685 0.192107
0.57314 0.180067
0.60921 0.167573
0.64487 0.154813
0.67996 0.14196
0.71431 0.12916
0.74774 0.116533
0.78011 0.1042
0.81126 0.0922667
0.84103 0.08084
0.86929 0.0700133
0.89589 0.0598533
0.92072 0.05044
0.94365 0.0418267
0.96457 0.0339067
0.98339 0.0266267
1.00000 0.02004
